,Date,Adj. Open,2. high,3. low,Adj. Close,Volume
0,1998-01-02,48.69,48.87,48.12,48.25,3388033.0
1,1998-01-05,48.25,48.5,47.81,48.5,4463654.0
2,1998-01-06,48.25,48.25,47.0,47.69,4746085.0
3,1998-01-07,47.37,47.62,46.31,47.12,5791534.0
4,1998-01-08,46.31,46.62,44.94,45.06,6208020.0
5,1998-01-09,45.0,45.25,43.19,43.75,7571674.0
6,1998-01-12,42.75,45.87,42.62,45.25,7399491.0
7,1998-01-13,45.5,47.19,45.5,47.12,4984023.0
8,1998-01-14,47.5,48.5,47.44,48.5,5622852.0
9,1998-01-15,48.25,48.75,48.19,48.62,5048313.0
10,1998-01-16,49.06,49.56,48.94,49.0,6717059.0
11,1998-01-20,49.12,49.37,48.62,48.62,5792871.0
12,1998-01-21,48.37,49.5,48.19,49.31,4564609.0
13,1998-01-22,48.69,49.25,48.62,48.75,3239720.0
14,1998-01-23,49.06,49.31,47.94,48.0,3116550.0
15,1998-01-26,48.0,48.56,47.75,48.25,2918651.0
16,1998-01-27,49.37,50.44,49.25,49.87,10283068.0
17,1998-01-28,49.94,50.25,49.69,49.94,6690134.0
18,1998-01-29,49.81,51.31,49.81,50.75,11830554.0
19,1998-01-30,50.69,51.25,50.31,51.0,5148377.0
20,1998-02-02,51.5,52.37,51.37,51.87,6088224.0
21,1998-02-03,51.56,52.12,51.31,51.5,5785296.0
22,1998-02-04,51.25,51.56,51.0,51.31,5454679.0
23,1998-02-05,51.44,51.47,49.87,50.06,5124507.0
24,1998-02-06,50.25,51.69,50.19,51.44,5720878.0
25,1998-02-09,51.81,53.12,51.62,52.62,6387842.0
26,1998-02-10,52.87,53.44,52.75,52.75,5462572.0
27,1998-02-11,52.69,53.0,52.31,53.0,2462126.0
28,1998-02-12,52.94,53.94,52.81,53.75,3150668.0
29,1998-02-13,53.56,54.12,53.06,53.62,5079122.0
30,1998-02-17,54.37,55.0,53.81,54.94,6665945.0
31,1998-02-18,54.69,54.87,53.75,54.37,6783577.0
32,1998-02-19,54.44,54.56,54.12,54.37,4616359.0
33,1998-02-20,54.44,55.75,54.37,55.25,4575684.0
34,1998-02-23,55.69,55.75,54.94,55.31,2466009.0
35,1998-02-24,55.25,55.56,54.25,54.62,3925652.0
36,1998-02-25,55.12,56.0,55.12,55.56,3925398.0
37,1998-02-26,55.56,55.75,55.31,55.5,2361171.0
38,1998-02-27,56.75,56.87,55.75,56.56,3854870.0
39,1998-03-02,56.37,56.94,56.19,56.81,3593698.0
40,1998-03-03,57.0,58.94,57.0,58.94,6752514.0
41,1998-03-04,58.94,60.31,58.12,58.19,10921579.0
42,1998-03-05,57.62,58.06,57.19,57.87,4680331.0
43,1998-03-06,58.37,60.25,58.37,59.94,5355888.0
44,1998-03-09,60.0,60.44,59.31,59.31,3674475.0
45,1998-03-10,59.75,60.19,59.56,60.12,5017505.0
46,1998-03-11,59.94,60.06,59.0,59.06,4069064.0
47,1998-03-12,59.0,59.0,57.12,57.37,6758434.0
48,1998-03-13,58.69,59.62,58.5,59.28,10844430.0
49,1998-03-16,60.0,60.19,59.75,60.19,5613813.0
50,1998-03-17,60.31,61.25,59.75,61.25,2964863.0
51,1998-03-18,60.94,61.5,60.87,61.5,2806365.0
52,1998-03-19,61.62,62.5,61.12,62.44,3968364.0
53,1998-03-20,62.94,63.81,62.75,63.62,5442202.0
54,1998-03-23,62.0,63.12,62.0,63.06,4640484.0
55,1998-03-24,62.81,63.81,62.75,63.5,4164227.0
56,1998-03-25,63.56,64.19,63.25,63.44,5568300.0
57,1998-03-26,63.19,65.12,62.87,64.5,5302928.0
58,1998-03-27,65.31,65.69,64.5,65.06,5349777.0
59,1998-03-30,64.81,65.19,63.87,64.0,3502673.0
60,1998-03-31,64.5,65.25,64.44,64.81,4084978.0
61,1998-04-01,64.75,65.06,63.69,63.81,4749777.0
62,1998-04-02,63.25,63.37,62.0,63.31,6276957.0
63,1998-04-03,64.25,65.94,64.12,65.25,6911458.0
64,1998-04-06,65.37,65.37,64.12,65.06,4521515.0
65,1998-04-07,65.06,65.94,65.0,65.5,7319924.0
66,1998-04-08,43.38,45.63,42.5,44.5,9178167.0
67,1998-04-09,45.0,47.25,45.0,46.88,8201719.0
68,1998-04-13,47.0,48.63,46.81,48.06,8984087.0
69,1998-04-14,47.75,49.31,47.63,49.13,6142966.0
70,1998-04-15,49.31,50.63,49.19,49.88,6859771.0
71,1998-04-16,49.44,50.38,49.31,49.69,6757543.0
72,1998-04-17,49.75,49.88,48.25,48.81,14131254.0
73,1998-04-20,48.69,48.75,46.56,47.38,8251305.0
74,1998-04-21,47.13,48.5,47.13,47.56,4614195.0
75,1998-04-22,47.25,48.56,47.13,47.44,3617059.0
76,1998-04-23,47.31,47.31,45.63,45.81,4915086.0
77,1998-04-24,45.94,46.75,45.19,45.44,5361108.0
78,1998-04-27,45.0,45.13,44.38,44.88,3746340.0
79,1998-04-28,45.94,46.63,44.69,44.81,5057225.0
80,1998-04-29,45.25,46.0,45.25,45.63,6441184.0
81,1998-04-30,46.0,46.25,45.75,45.81,5034500.0
82,1998-05-01,47.5,47.5,46.5,46.81,2027753.0
83,1998-05-04,46.94,47.31,46.31,46.63,3041884.0
84,1998-05-05,46.25,46.25,45.63,45.88,3004774.0
85,1998-05-06,47.75,47.75,45.63,45.75,5493889.0
86,1998-05-07,46.5,47.06,45.5,45.63,6650350.0
87,1998-05-08,45.5,46.25,45.38,45.81,3296563.0
88,1998-05-11,46.0,46.69,44.88,45.0,4417250.0
89,1998-05-12,45.0,45.94,45.0,45.75,3493062.0
90,1998-05-13,47.38,49.13,46.81,48.19,6689306.0
91,1998-05-14,47.94,49.0,47.88,48.56,3901464.0
92,1998-05-15,48.44,48.5,47.63,47.94,3376384.0
93,1998-05-18,47.69,48.63,46.63,47.0,2956397.0
94,1998-05-19,47.63,48.0,47.06,47.56,3128008.0
95,1998-05-20,48.5,49.5,48.25,49.25,3299109.0
96,1998-05-21,51.0,52.0,50.56,51.13,4404328.0
97,1998-05-22,50.88,51.13,50.56,51.0,2165882.0
98,1998-05-26,51.56,53.0,51.38,52.0,4997327.0
99,1998-05-27,51.0,52.38,50.63,52.0,5021388.0
100,1998-05-28,51.63,52.5,51.56,52.06,2274348.0
101,1998-05-29,52.06,53.0,51.88,51.88,2424379.0
102,1998-06-01,52.44,53.56,52.38,52.88,4184023.0
103,1998-06-02,53.5,57.0,52.81,57.0,6699682.0
104,1998-06-03,56.75,56.75,54.56,55.63,5493062.0
105,1998-06-04,55.0,55.63,53.81,55.13,3506875.0
106,1998-06-05,55.31,56.0,54.94,55.25,2845449.0
107,1998-06-08,54.94,56.0,54.94,55.75,1773265.0
108,1998-06-09,55.81,55.81,54.63,55.13,2354297.0
109,1998-06-10,54.13,55.19,53.94,54.56,2174093.0
110,1998-06-11,53.5,54.25,52.63,52.69,2747549.0
111,1998-06-12,52.69,53.0,51.22,52.25,4386187.0
112,1998-06-15,50.75,53.19,50.75,51.69,3470974.0
113,1998-06-16,51.81,52.31,51.31,52.0,4322342.0
114,1998-06-17,53.0,55.38,53.0,54.19,4640356.0
115,1998-06-18,54.13,54.88,54.06,54.5,1918714.0
116,1998-06-19,56.0,56.0,54.56,55.06,3605156.0
117,1998-06-22,55.13,56.0,55.0,55.88,2510948.0
118,1998-06-23,55.88,57.25,55.56,57.13,4346595.0
119,1998-06-24,57.25,58.13,57.19,57.56,3610630.0
120,1998-06-25,57.63,58.5,57.31,58.13,2771101.0
121,1998-06-26,58.13,59.13,58.13,58.56,1891916.0
122,1998-06-29,58.75,59.13,58.13,58.19,1545258.0
123,1998-06-30,58.38,59.0,58.25,59.0,2074157.0
124,1998-07-01,58.75,58.94,58.0,58.38,2113113.0
125,1998-07-02,58.25,58.25,57.44,57.88,1682495.0
126,1998-07-06,58.0,59.81,57.94,59.75,2734755.0
127,1998-07-07,59.56,59.88,58.5,58.75,2363972.0
128,1998-07-08,58.75,59.69,58.75,59.44,2671547.0
129,1998-07-09,59.38,59.56,59.0,59.0,1926989.0
130,1998-07-10,58.25,58.56,56.13,57.88,3626735.0
131,1998-07-13,59.0,60.0,58.38,59.44,3662253.0
132,1998-07-14,60.0,60.88,59.88,60.5,3117887.0
133,1998-07-15,60.5,60.75,58.63,59.5,4531891.0
134,1998-07-16,59.5,59.88,58.69,59.75,2190006.0
135,1998-07-17,59.0,60.0,58.88,58.88,2516486.0
136,1998-07-20,58.13,58.25,56.94,57.75,2055506.0
137,1998-07-21,57.75,59.5,57.06,58.5,3410948.0
138,1998-07-22,58.5,60.44,58.0,60.06,3453787.0
139,1998-07-23,60.13,60.63,58.19,58.38,2157225.0
140,1998-07-24,57.0,58.69,57.0,57.63,2433927.0
141,1998-07-27,57.44,59.06,56.06,59.06,2436283.0
142,1998-07-28,58.75,60.25,57.81,59.31,2536983.0
143,1998-07-29,58.63,58.88,57.25,57.63,2356970.0
144,1998-07-30,57.88,61.0,57.81,60.75,5374348.0
145,1998-07-31,60.25,61.44,56.5,57.0,5574539.0
146,1998-08-03,56.44,57.0,55.38,56.75,3565627.0
147,1998-08-04,57.25,57.44,53.69,53.69,4565372.0
148,1998-08-05,53.88,54.25,51.0,54.25,4660407.0
149,1998-08-06,54.19,54.25,52.44,53.56,2780586.0
150,1998-08-07,52.75,54.25,52.0,52.13,2847231.0
151,1998-08-10,51.81,53.19,51.38,52.0,1973138.0
152,1998-08-11,50.0,50.88,50.0,50.69,2757670.0
153,1998-08-12,51.0,52.94,51.0,51.63,2291534.0
154,1998-08-13,51.38,52.63,51.0,51.06,1815213.0
155,1998-08-14,50.38,51.06,48.06,48.88,3482750.0
156,1998-08-17,48.0,49.0,47.06,48.0,5213113.0
157,1998-08-18,48.06,50.44,47.94,50.19,3285805.0
158,1998-08-19,51.0,51.88,50.63,51.0,2658625.0
159,1998-08-20,51.06,51.13,48.81,48.88,2716359.0
160,1998-08-21,48.06,48.38,46.75,48.06,4146722.0
161,1998-08-24,48.06,49.88,48.0,49.75,3559325.0
162,1998-08-25,50.44,51.31,48.44,49.06,3842393.0
163,1998-08-26,48.31,49.75,48.19,48.38,2255697.0
164,1998-08-27,47.81,47.88,43.5,46.5,7158116.0
165,1998-08-28,48.25,48.25,46.75,47.69,4153533.0
166,1998-08-31,48.44,48.44,43.75,44.63,4741630.0
167,1998-09-01,44.0,46.63,42.0,45.63,5025143.0
168,1998-09-02,46.25,46.69,44.5,44.63,3227944.0
169,1998-09-03,44.13,44.75,42.5,42.5,4108020.0
170,1998-09-04,43.19,43.63,40.63,41.88,3953469.0
171,1998-09-08,45.25,45.25,43.31,44.0,3495990.0
172,1998-09-09,44.44,46.13,44.13,45.94,3242075.0
173,1998-09-10,44.75,45.19,42.69,43.25,4280140.0
174,1998-09-11,42.75,44.13,42.13,43.31,3263717.0
175,1998-09-14,45.13,46.38,44.88,46.31,3642011.0
176,1998-09-15,46.31,47.94,45.56,47.25,2165181.0
177,1998-09-16,47.63,47.75,46.31,46.75,2149332.0
178,1998-09-17,44.75,45.56,44.75,45.25,2488479.0
179,1998-09-18,45.25,45.25,44.13,44.94,4291852.0
180,1998-09-21,44.0,46.38,43.69,45.88,2178103.0
181,1998-09-22,46.44,47.13,45.19,45.81,2471101.0
182,1998-09-23,46.75,48.63,46.63,48.56,4116486.0
183,1998-09-24,48.31,49.69,46.63,47.63,3077339.0
184,1998-09-25,46.81,48.69,46.81,48.13,2685869.0
185,1998-09-28,48.38,49.63,48.25,49.19,2889624.0
