Date,Open,High,Low,Close,Adj Close,Volume
2010-01-04,29.52,30.18,29.5,30.02,27.37,988800
2010-01-05,29.72,29.93,29.5,29.88,27.24,567800
2010-01-06,29.88,29.95,29.66,29.85,27.22,468200
2010-01-07,29.74,29.87,29.59,29.8,27.17,645300
2010-01-08,30.04,30.47,29.93,30.41,27.73,574100
2010-01-11,30.72,30.75,30.39,30.6,27.9,603200
2010-01-12,31.47,31.7,31.45,31.57,28.79,1161000
2010-01-13,32.78,33.3,32.63,33.16,30.23,2303000
2010-01-14,33.59,34.1,33.4,33.73,30.75,1267200
2010-01-15,33.54,33.61,33.07,33.34,30.4,985400
2010-01-19,33.59,34.11,33.49,33.99,30.99,615300
2010-01-20,33.51,33.52,32.98,33.25,30.32,1035800
2010-01-21,34.75,34.95,34.06,34.36,31.33,1574600
2010-01-22,34.67,34.85,34.12,34.18,31.16,1625600
2010-01-25,34.88,34.99,34.45,34.8,31.73,971400
2010-01-26,33.74,33.94,33.35,33.5,30.54,1214700
2010-01-27,33.0,33.44,32.66,33.24,30.31,1413700
2010-01-28,34.31,34.4,33.55,33.8,30.82,1174000
2010-01-29,33.47,33.89,33.21,33.23,30.3,936300
2010-02-01,34.0,34.32,33.95,34.21,31.19,1291700
2010-02-02,34.76,35.59,34.75,35.41,32.29,1404300
2010-02-03,34.75,34.99,34.42,34.94,31.86,983400
2010-02-04,34.54,35.5,33.52,34.48,31.44,1718400
2010-02-05,34.34,34.55,33.39,34.26,31.24,1589400
2010-02-08,33.38,33.38,32.94,33.01,30.1,746400
2010-02-09,33.4,33.93,33.33,33.77,30.79,813600
2010-02-10,33.93,34.12,33.47,33.81,30.83,619000
2010-02-11,33.88,34.07,33.56,34.06,31.06,626900
2010-02-12,33.87,34.11,33.51,34.06,31.06,940800
2010-02-16,33.7,34.28,33.7,34.22,31.2,640000
2010-02-17,34.36,34.64,34.35,34.44,31.4,663600
2010-02-18,34.45,34.74,34.35,34.71,31.65,1066600
2010-02-19,34.31,34.56,34.17,34.43,31.39,819800
2010-02-22,35.0,35.0,34.63,34.78,31.71,712900
2010-02-23,34.8,34.94,34.34,34.61,31.56,992000
2010-02-24,34.74,34.74,34.17,34.6,31.55,871900
2010-02-25,33.83,34.0,33.41,34.0,31.0,1101200
2010-02-26,34.19,34.3,33.87,34.11,31.1,776600
2010-03-01,34.4,34.87,34.4,34.8,31.73,786600
2010-03-02,34.73,35.16,34.73,34.85,31.78,648500
2010-03-03,35.32,35.71,35.17,35.5,32.37,601800
2010-03-04,35.43,35.43,34.92,35.04,31.95,542700
2010-03-05,35.89,36.38,35.8,36.34,33.13,1612400
2010-03-08,36.76,36.89,36.62,36.75,33.51,1354600
2010-03-09,36.82,37.33,36.82,37.15,33.87,820500
2010-03-10,37.44,37.86,37.32,37.65,34.33,938500
2010-03-11,37.74,38.19,37.74,38.17,34.8,939900
2010-03-12,37.45,37.63,37.28,37.34,34.05,787000
2010-03-15,37.3,37.73,37.21,37.61,34.29,600400
2010-03-16,37.42,37.67,37.34,37.57,34.26,518600
2010-03-17,37.77,37.9,37.65,37.8,34.47,404100
2010-03-18,38.03,38.41,38.0,38.36,34.98,1146000
2010-03-19,38.64,38.83,38.38,38.64,35.23,849400
2010-03-22,38.39,38.95,38.32,38.84,35.41,660400
2010-03-23,40.11,40.45,39.98,40.44,36.87,2958800
2010-03-24,39.0,39.15,38.54,38.7,35.29,1164800
2010-03-25,38.1,38.17,37.64,37.66,34.34,1279700
2010-03-26,38.16,38.41,37.92,38.22,34.97,681300
2010-03-29,38.29,38.47,38.11,38.43,35.17,515600
2010-03-30,38.72,38.93,38.58,38.84,35.54,561700
2010-03-31,38.35,38.63,38.25,38.32,35.07,672600
2010-04-01,38.49,38.67,38.2,38.42,35.16,861000
2010-04-05,38.3,38.63,38.2,38.57,35.29,583900
2010-04-06,37.16,37.6,37.08,37.42,34.24,1107500
2010-04-07,36.96,37.04,36.62,36.87,33.74,1397500
2010-04-08,36.52,36.9,36.27,36.85,33.72,561600
2010-04-09,36.71,36.91,36.5,36.81,33.68,622700
2010-04-12,36.49,36.84,36.49,36.54,33.44,487900
2010-04-13,36.5,36.64,36.42,36.6,33.49,805700
2010-04-14,36.54,37.0,36.39,37.0,33.86,704000
2010-04-15,36.59,36.91,36.49,36.69,33.57,529600
2010-04-16,36.41,36.45,35.35,35.56,32.54,1227500
2010-04-19,35.94,36.27,35.66,36.11,33.04,915100
2010-04-20,35.87,35.99,35.59,35.67,32.64,1184000
2010-04-21,35.58,35.7,35.38,35.49,32.48,824900
